Date: 2025-04-23 14:20:01, Time_Cost: 232s, Epoch: [1/25], Train_PSNR: 21.50, Val_PSNR: 16.10, Val_SSIM: 0.3644
Date: 2025-04-23 14:23:37, Time_Cost: 216s, Epoch: [2/25], Train_PSNR: 23.50, Val_PSNR: 16.10, Val_SSIM: 0.3644
Date: 2025-04-23 14:27:14, Time_Cost: 216s, Epoch: [3/25], Train_PSNR: 24.10, Val_PSNR: 16.10, Val_SSIM: 0.3644
Date: 2025-04-23 14:30:51, Time_Cost: 217s, Epoch: [4/25], Train_PSNR: 24.17, Val_PSNR: 16.10, Val_SSIM: 0.3644
Date: 2025-04-23 14:34:31, Time_Cost: 219s, Epoch: [5/25], Train_PSNR: 24.19, Val_PSNR: 16.10, Val_SSIM: 0.3644
Date: 2025-04-23 14:38:09, Time_Cost: 218s, Epoch: [6/25], Train_PSNR: 24.22, Val_PSNR: 16.10, Val_SSIM: 0.3644
Date: 2025-04-23 14:41:47, Time_Cost: 218s, Epoch: [7/25], Train_PSNR: 24.23, Val_PSNR: 16.10, Val_SSIM: 0.3644
Date: 2025-04-23 14:45:25, Time_Cost: 218s, Epoch: [8/25], Train_PSNR: 24.24, Val_PSNR: 16.10, Val_SSIM: 0.3644
Date: 2025-04-23 14:49:03, Time_Cost: 218s, Epoch: [9/25], Train_PSNR: 24.25, Val_PSNR: 16.10, Val_SSIM: 0.3644
Date: 2025-04-23 14:52:41, Time_Cost: 218s, Epoch: [10/25], Train_PSNR: 24.26, Val_PSNR: 16.10, Val_SSIM: 0.3644
Date: 2025-04-23 14:56:19, Time_Cost: 219s, Epoch: [11/25], Train_PSNR: 24.27, Val_PSNR: 16.10, Val_SSIM: 0.3644
Date: 2025-04-23 14:59:58, Time_Cost: 218s, Epoch: [12/25], Train_PSNR: 24.28, Val_PSNR: 16.10, Val_SSIM: 0.3644
Date: 2025-04-23 15:03:36, Time_Cost: 218s, Epoch: [13/25], Train_PSNR: 24.29, Val_PSNR: 16.10, Val_SSIM: 0.3644
Date: 2025-04-23 15:07:14, Time_Cost: 218s, Epoch: [14/25], Train_PSNR: 24.31, Val_PSNR: 16.10, Val_SSIM: 0.3644
Date: 2025-04-23 15:10:54, Time_Cost: 220s, Epoch: [15/25], Train_PSNR: 24.32, Val_PSNR: 16.10, Val_SSIM: 0.3644
Date: 2025-04-23 15:14:33, Time_Cost: 219s, Epoch: [16/25], Train_PSNR: 24.32, Val_PSNR: 16.10, Val_SSIM: 0.3644
Date: 2025-04-23 15:18:14, Time_Cost: 221s, Epoch: [17/25], Train_PSNR: 24.33, Val_PSNR: 16.10, Val_SSIM: 0.3644
Date: 2025-04-23 15:21:53, Time_Cost: 219s, Epoch: [18/25], Train_PSNR: 24.34, Val_PSNR: 16.10, Val_SSIM: 0.3644
